list1_extract1,list1_news_name,list1_news_selection1,list1_news_selection2
https://in.investing.com/indices/s-p-cnx-nifty-news/2,"Sensex, Nifty suffer sharp fall for second day in a row","Aug 03, 2023 05:11",Times Of India
https://in.investing.com/indices/s-p-cnx-nifty-news/2,"Sensex tanks 1,500 points in 2 days. Should you ditch Fitch to buy stocks?","Aug 03, 2023 04:03",The Economic Times
https://in.investing.com/indices/s-p-cnx-nifty-news/2,"TechM, Tata Steel, Infosys, HUL, LTIMindtree: Nifty stocks with highest FY24 EPS downgrades","Aug 03, 2023 03:56",Business Today
https://in.investing.com/indices/s-p-cnx-nifty-news/2,Asian stocks fall as risk-off persists after U.S. rating cut,"Aug 03, 2023 03:49",Investing.com
https://in.investing.com/indices/s-p-cnx-nifty-news/2,"GIFT Nifty up 26 points: Asian markets, crude oil prices, dollar movement, Q1 results & more","Aug 02, 2023 22:02",Business Today
https://in.investing.com/indices/s-p-cnx-nifty-news/2,Indices tank 1% after Fitch spoils mood on Street,"Aug 02, 2023 19:55",The Economic Times
https://in.investing.com/indices/s-p-cnx-nifty-news/2,"Day trading guide for Aug 03, 2023: Intraday supports, resistances for Nifty50 stocks","Aug 02, 2023 19:35",Business Line
https://in.investing.com/indices/s-p-cnx-nifty-news/2,Markets could remain subdued given the gloomy global environment,"Aug 02, 2023 11:15",IANS
https://in.investing.com/indices/s-p-cnx-nifty-news/2,"Sensex Crashes 1,028 Pts As All Sectors Painted in Red, VIX Soars 15%","Aug 02, 2023 08:48",Investing.com
https://in.investing.com/indices/s-p-cnx-nifty-news/2,"Titan, Adani Wilmar, IndiGo, Ambuja Among 61 Cos to Release Q1 Earnings Today","Aug 02, 2023 05:16",Investing.com
https://in.investing.com/indices/s-p-cnx-nifty-news/2,Asian stocks hit by tech losses as Fitch cuts U.S. rating,"Aug 02, 2023 03:34",Investing.com
https://in.investing.com/indices/s-p-cnx-nifty-news/2,"GIFT Nifty down 25 points: Asian markets, crude oil prices, dollar movement, Q1 results & more","Aug 01, 2023 21:42",Business Today
https://in.investing.com/indices/s-p-cnx-nifty-news/2,Britannia hit by profit booking on rural headwinds,"Aug 01, 2023 20:05",The Economic Times
https://in.investing.com/indices/s-p-cnx-nifty-news/2,"Day trading guide for Aug 02, 2023: Intraday supports, resistances for Nifty50 stocks","Aug 01, 2023 19:33",Business Line
https://in.investing.com/indices/s-p-cnx-nifty-news/2,Domestic equities trade on tepid note,"Aug 01, 2023 12:15",IANS
https://in.investing.com/indices/s-p-cnx-nifty-news/2,"Maharatna PSU Jumps 5.3%, Tops Nifty Pack As Production Grows 13.4% in July","Aug 01, 2023 11:00",Investing.com
https://in.investing.com/indices/s-p-cnx-nifty-news/2,"1st time in India's history, majority of Nifty50 Cos promoters, executive directors not foreign/IITs/IIMs educated","Aug 01, 2023 10:15",IANS
https://in.investing.com/indices/s-p-cnx-nifty-news/2,"Market rally is stretching valuations beyond comfort levels, say analysts","Aug 01, 2023 06:15",IANS
https://in.investing.com/indices/s-p-cnx-nifty-news/2,"Asian stocks push higher on tech strength, China lags","Aug 01, 2023 03:54",Investing.com
https://in.investing.com/indices/s-p-cnx-nifty-news/2,Share price of Ambuja Cements falls as Nifty weakens,"Aug 01, 2023 00:10",The Economic Times
https://in.investing.com/indices/s-p-cnx-nifty-news/2,Share price of Tata Elxsi rises as Nifty weakens,"Aug 01, 2023 00:05",The Economic Times
https://in.investing.com/indices/s-p-cnx-nifty-news/2,"Bank Nifty prediction today – August 1, 2023: Index testing a key resistance","Aug 01, 2023 00:04",Business Line
https://in.investing.com/indices/s-p-cnx-nifty-news/2,"Sensex rises over 100 points; Nifty tops 19,750; KIOCL, Alok Industries & Hindustan Copper jump up to 14%","Aug 01, 2023 00:02",Business Today
https://in.investing.com/indices/s-p-cnx-nifty-news/2,"Nifty prediction today – August 1, 2023: Resistance ahead for Nifty 50","Jul 31, 2023 23:54",Business Line
https://in.investing.com/indices/s-p-cnx-nifty-news/2,Page Industries shares rise 2.17% as Nifty gains,"Jul 31, 2023 23:45",The Economic Times
https://in.investing.com/indices/s-p-cnx-nifty-news/2,Stock market update: Nifty Pharma index advances 0.71% in an upbeat market,"Jul 31, 2023 23:44",The Economic Times
https://in.investing.com/indices/s-p-cnx-nifty-news/2,Tata Power shares up 2.41% as Nifty gains,"Jul 31, 2023 23:35",The Economic Times
https://in.investing.com/indices/s-p-cnx-nifty-news/2,Stock market update: Nifty Bank index advances 0.09% in an upbeat market,"Jul 31, 2023 23:34",The Economic Times
https://in.investing.com/indices/s-p-cnx-nifty-news/2,"Sensex rises over 100 pts, Nifty holds 19,750; Suzlon jumps 5%","Jul 31, 2023 23:21",The Economic Times
https://in.investing.com/indices/s-p-cnx-nifty-news/2,"Up 14% in 5 months, will Nifty bulls hit sixer or get bowled out? August has a history","Jul 31, 2023 23:14",The Economic Times
https://in.investing.com/indices/s-p-cnx-nifty-news/2,"Stock Market Updates: Sensex Trades on Positive Note, Nifty Holds 19,750; Suzlon Surges 5%","Jul 31, 2023 23:09",News18
https://in.investing.com/indices/s-p-cnx-nifty-news/2,"Sensex rises marginally on gains in bank stocks; Nifty above 19,750","Jul 31, 2023 23:05",The Economic Times
https://in.investing.com/indices/s-p-cnx-nifty-news/2,At multi-year highs: 4 Nifty50 stocks witness 5-year swing high breakout,"Jul 31, 2023 22:32",The Economic Times
https://in.investing.com/indices/s-p-cnx-nifty-news/2,ETMarkets Smart Talk- It is a prudent approach to divide the portfolio into two parts - Core and Satellite: Srikanth Subramanian,"Jul 31, 2023 22:31",The Economic Times
https://in.investing.com/indices/s-p-cnx-nifty-news/2,​6 Nifty50 counters that witnessed aggressive short covering in Monday’s trade​,"Jul 31, 2023 22:26",The Economic Times
https://in.investing.com/indices/s-p-cnx-nifty-news/2,"Momentum building up for Nifty, Sensex","Jul 31, 2023 22:14",Business Line
https://in.investing.com/indices/s-p-cnx-nifty-news/2,"Big Movers on D-Street: What should investors do with SBI Card, Nazara Tech and Ujjivan SFB?","Jul 31, 2023 22:13",The Economic Times
https://in.investing.com/indices/s-p-cnx-nifty-news/2,"Stock Market Live Updates: Sensex, Nifty to sustain gains","Jul 31, 2023 22:07",Business Line
https://in.investing.com/indices/s-p-cnx-nifty-news/2,"GIFT Nifty up 5 points: Asian markets, crude oil prices, dollar movement, Q1 results & more","Jul 31, 2023 21:36",Business Today
https://in.investing.com/indices/s-p-cnx-nifty-news/2,"Day trading guide for August 01, 2023: Intraday supports, resistances for Nifty50 stocks","Jul 31, 2023 19:35",Business Line
https://in.investing.com/indices/s-p-cnx-nifty-news/2,Indian equities ended positively for the fourth consecutive month,"Jul 31, 2023 11:45",IANS
https://in.investing.com/indices/s-p-cnx-nifty-news/2,"NTPC Top Gainer on Nifty & Sensex, CLSA Bullish Post Q1, Pegs Over 14% Upside","Jul 31, 2023 08:30",Investing.com
https://in.investing.com/indices/s-p-cnx-nifty-news/2,"Maruti, PowerGrid, GAIL, Bosch Among 46 Cos to Release Q1 Earnings on Monday","Jul 31, 2023 04:54",Investing.com
https://in.investing.com/indices/s-p-cnx-nifty-news/2,Asian stocks rise as China stimulus hopes offset glum PMIs,"Jul 31, 2023 03:49",Investing.com
https://in.investing.com/indices/s-p-cnx-nifty-news/2,ETMarkets PMS Talk-Quant-based strategies will help us reach unprecedented levels of accuracy and consistency: Sonam Srivastava,"Jul 30, 2023 22:31",The Economic Times
https://in.investing.com/indices/s-p-cnx-nifty-news/2,​4 Nifty 50 counters signal bearish trend on Futures Short Position scan​,"Jul 30, 2023 22:25",The Economic Times
