list1_extract1,list1_news_name,list1_news_selection1,list1_news_selection2
https://in.investing.com/indices/s-p-cnx-nifty-news/798,India shares lower at close of trade; Nifty 50 down 0.19%,"Oct 24, 2019 10:45",Investing.com
https://in.investing.com/indices/s-p-cnx-nifty-news/798,"Indian shares inch up; HCL, L&T shine on upbeat results","Oct 24, 2019 04:30",Reuters
https://in.investing.com/indices/s-p-cnx-nifty-news/798,"Bajaj Finance earnings, Revenue beat in Q3","Oct 23, 2019 14:13",Investing.com
https://in.investing.com/indices/s-p-cnx-nifty-news/798,India shares higher at close of trade; Nifty 50 up 0.14%,"Oct 23, 2019 10:45",Investing.com
https://in.investing.com/indices/s-p-cnx-nifty-news/798,Indian shares eke out gains; Infosys recovers to end higher,"Oct 23, 2019 10:42",Reuters
https://in.investing.com/indices/s-p-cnx-nifty-news/798,"Indian shares rangebound; Yes Bank, Tata Motors drag","Oct 23, 2019 04:54",Reuters
https://in.investing.com/indices/s-p-cnx-nifty-news/798,India shares lower at close of trade; Nifty 50 down 0.63%,"Oct 22, 2019 10:45",Investing.com
https://in.investing.com/indices/s-p-cnx-nifty-news/798,Indian shares end lower as Infosys crashes,"Oct 22, 2019 10:36",Reuters
https://in.investing.com/indices/s-p-cnx-nifty-news/798,Infosys Drags India Stocks Lower After Whistle-Blower Complaint,"Oct 22, 2019 07:53",Bloomberg
https://in.investing.com/indices/s-p-cnx-nifty-news/798,Indian shares wobble; Infosys tanks after whistleblower complaint,"Oct 22, 2019 05:18",Reuters
https://in.investing.com/indices/s-p-cnx-nifty-news/798,India shares higher at close of trade; Nifty 50 up 0.65%,"Oct 21, 2019 10:45",Investing.com
https://in.investing.com/indices/s-p-cnx-nifty-news/798,ADVISORY-India markets closed on Monday for holiday,"Oct 21, 2019 01:30",Reuters
https://in.investing.com/indices/s-p-cnx-nifty-news/798,Indian shares end higher; Reliance Industries touches record high,"Oct 18, 2019 10:54",Reuters
https://in.investing.com/indices/s-p-cnx-nifty-news/798,India shares higher at close of trade; Nifty 50 up 0.65%,"Oct 18, 2019 10:45",Investing.com
https://in.investing.com/indices/s-p-cnx-nifty-news/798,"Indian shares rise on Brexit deal, positive earnings hopes","Oct 18, 2019 04:42",Reuters
https://in.investing.com/indices/s-p-cnx-nifty-news/798,India shares higher at close of trade; Nifty 50 up 1.07%,"Oct 17, 2019 10:45",Investing.com
https://in.investing.com/indices/s-p-cnx-nifty-news/798,"Indian shares end higher; autos, public sector banks shine","Oct 17, 2019 10:42",Reuters
https://in.investing.com/indices/s-p-cnx-nifty-news/798,Indian shares nearly flat; metal stocks drag,"Oct 17, 2019 04:42",Reuters
https://in.investing.com/indices/s-p-cnx-nifty-news/798,India shares higher at close of trade; Nifty 50 up 0.31%,"Oct 16, 2019 10:45",Investing.com
https://in.investing.com/indices/s-p-cnx-nifty-news/798,Indian shares end higher on upbeat start to earnings season,"Oct 16, 2019 10:30",Reuters
https://in.investing.com/indices/s-p-cnx-nifty-news/798,Indian shares gain as Sept-qtr earnings season gathers steam,"Oct 16, 2019 04:42",Reuters
https://in.investing.com/indices/s-p-cnx-nifty-news/798,India shares higher at close of trade; Nifty 50 up 0.77%,"Oct 15, 2019 10:45",Investing.com
https://in.investing.com/indices/s-p-cnx-nifty-news/798,Indian shares end firmer; auto stocks lead gains,"Oct 15, 2019 10:30",Reuters
https://in.investing.com/indices/s-p-cnx-nifty-news/798,Indian stocks have the lowest dividend yield in Asia - Refinitiv,"Oct 15, 2019 07:50",Reuters
https://in.investing.com/indices/s-p-cnx-nifty-news/798,CORRECTED-Indian shares edge higher; Hindustan Unilever rises after upbeat earnings,"Oct 15, 2019 04:33",Reuters
https://in.investing.com/indices/s-p-cnx-nifty-news/798,India shares higher at close of trade; Nifty 50 up 0.32%,"Oct 14, 2019 10:45",Investing.com
https://in.investing.com/indices/s-p-cnx-nifty-news/798,Indian shares end higher ahead of inflation data; Infosys drops,"Oct 14, 2019 10:20",Reuters
https://in.investing.com/indices/s-p-cnx-nifty-news/798,Indian shares rise ahead of inflation data; Infosys drops,"Oct 14, 2019 04:50",Reuters
https://in.investing.com/indices/s-p-cnx-nifty-news/798,RPT-INSIGHT-Realty bites: Indian property slump leaves beleaguered banks exposed,"Oct 13, 2019 23:30",Reuters
https://in.investing.com/indices/s-p-cnx-nifty-news/798,INSIGHT-Realty bites: Indian property slump leaves beleaguered banks exposed,"Oct 13, 2019 06:00",Reuters
https://in.investing.com/indices/s-p-cnx-nifty-news/798,Indian stocks end firmer on positive Sino-U.S. trade buzz,"Oct 11, 2019 10:50",Reuters
